"sector","sector_osh_mapped"
"Accessories","Accessories"
"Accommodation","Accommodation"
"Aerospace","Aerospace"
"Aerospace Industry","Aerospace"
"Agriculture","Agriculture"
"Air Transport","Air Transportation"
"Air Transportation","Air Transportation"
"Allied Product Manufacturing","Allied Products"
"Allied Products","Allied Products"
"Ambulatory Care Facility","Ambulatory Care Facility"
"Ambulatory Care Services","Ambulatory Care Facility"
"Ambulatory Health Care","Ambulatory Care Facility"
"Ambulatory Health Care Services","Ambulatory Care Facility"
"Amusement","Entertainment"
"Animal Production","Animal Production"
"Apparel","Apparel"
"Apparel Accessories","Apparel Accessories"
"Appliance","Appliances"
"Appliance Retailers","Appliances"
"Appliances","Appliances"
"Aquaculture","Aquaculture"
"Archives","Archives"
"Art","Arts"
"Arts","Arts"
"Audio Recording","Audio Recording"
"Automotive","Automotive"
"Automotive Parts","Automotive Parts"
"Banking","Banking"
"Banking Industry","Banking"
"Beverage","Beverages"
"Beverage Retailers","Beverages"
"Beverages","Beverages"
"Book","Books"
"Books","Books"
"Building Construction","Building Construction"
"Building Material","Building Material"
"Chemical Industry","Chemical Industry"
"Chemical Manufacturing","Chemical Industry"
"Chemical Substances","Chemical Substances"
"Civic","Civics"
"Civics","Civics"
"Civil Engineering","Civil Engineering Construction"
"Civil Engineering Construction","Civil Engineering Construction"
"Clothing","Apparel"
"Clothing Accessories","Apparel Accessories"
"Coal","Coal"
"Coal Products Manufacturing","Coal"
"Commodity Contracts","Commodity Contracts"
"Commodity Contracts Brokerage","Commodity Contracts"
"Component Manufacturing","Components"
"Components","Components"
"Computer","Computer"
"Computing Infrastructure","Computing Infrastructure"
"Computing Infrastructure Providers","Computing Infrastructure"
"Construction","Construction"
"Construction of Buildings","Building Construction"
"Consumables","Nondurable Goods"
"Consumer Products","Consumer Products"
"Consumer Products Distribution","Consumer Products"
"Crop Production","Crop Production"
"Durable Goods","Durable Goods"
"Education","Educational Services"
"Educational Services","Educational Services"
"Electrical Devices","Electrical Devices"
"Electrical Equipment","Electrical Devices"
"Electricity","Electricity"
"Electronic Product Manufacturing","Electronic Product Manufacturing"
"Electronic Products Manufacturing","Electronic Product Manufacturing"
"Electronics","Electronics"
"Energy","Energy"
"Energy and Resources","Energy"
"Entertainment","Entertainment"
"Environmental, Social and Corporate Governance","Environmental, Social and Corporate Governance"
"Equipment","Equipment"
"Fabricated Metal Product Manufacturing","Manufacture of fabricated metal products"
"Farming","Farming"
"Fashion","Apparel"
"Finance","Finance"
"Financial Services","Financial Services"
"Fishing","Fishing"
"Food","Food"
"Food Industry","Food Industry"
"Food Manufacturing","Food Manufacturing"
"Footwear","Footwear"
"Forestry","Forestry"
"Furniture","Furniture"
"Garden Equipment","Garden Tools"
"Garden Tools","Garden Tools"
"Gas","Gas"
"Gas Extraction","Gas"
"Gear","Equipment"
"General Merchandise","General Merchandise"
"General Merchandise Retailers","General Merchandise"
"Ground Passenger Transportation","Ground Passenger Transportation"
"Health","Health"
"Health Care","Healthcare"
"Healthcare","Healthcare"
"Hobby","Hobby"
"Home accessories","Accessories"
"Home Furnishings","Home Furnishings"
"Hospitals","Hospitals"
"Human health and social work activities","Health"
"Hunting","Hunting"
"Information","Information"
"International Affairs","International Affairs"
"Jewelry","Jewelry"
"Jewelry Retailers","Jewelry"
"Leather","Leather"
"Logging","Logging"
"Machinery Manufacturing","Machinery Manufacturing"
"Maintenance","Maintenance"
"Manufacture of fabricated metal products","Manufacture of fabricated metal products"
"Manufacture of Tobacco Products","Tobacco Products"
"Manufacturing","Manufacturing"
"Merchant Wholesalers","Merchant Wholesalers"
"Metal Manufacturing","Metal Manufacturing"
"Mining","Mining"
"Motor Cars","Automotive"
"Motor Vehicles","Automotive"
"Multi-Category","Multi-Category"
"Music Recording","Audio Recording"
"Musical Instruments","Musical Instruments"
"Nondurable Goods","Nondurable Goods"
"Nonmetallic Mineral Product Manufacturing","Nonmetallic Mineral Product Manufacturing"
"Nursing","Nursing"
"Oil","Oil"
"Outdoor Equipment","Sports Equipment"
"Paper","Paper"
"Paper Manufacturing","Paper"
"Parts Dealers","Parts Dealers"
"Personal Care Products","Personal Care Products"
"Personal Care Retailers","Personal Care Products"
"Petroleum","Oil"
"Petroleum","Oil"
"Pharmaceutical Product","Pharmaceutical Product"
"Pipeline Transport","Pipeline Transportation"
"Pipeline Transportation","Pipeline Transportation"
"Plastics","Plastics"
"Primary Metal Manufacturing","Metal Manufacturing"
"Printing","Printing"
"Professional","Professional"
"Professional, scientific and technical activities","Professional, scientific and technical activities"
"Quarrying","Quarrying"
"Rail Transport","Rail Transportation"
"Rail Transportation","Rail Transportation"
"Railway","Rail Transportation"
"Recreation","Recreation"
"Renewable Energy","Renewable Energy"
"Rental","Renting"
"Renting","Renting"
"Repair","Repair"
"Rubber Products","Rubber Products"
"Rubber Products Manufacturing","Rubber Products"
"Scientific","Scientific"
"Security and commodity contracts brokerage","Commodity Contracts"
"Security Contracts Brokerage","Commodity Contracts"
"Solar Energy","Solar Energy"
"Solar Power","Solar Energy"
"Sound Recording","Audio Recording"
"Space Research","Space Research"
"Specialty Trade Contractors","Specialty Trade Contractors"
"Sporting Goods","Sports Equipment"
"Sports Equipment","Sports Equipment"
"Sports Equipment","Sports Equipment"
"Storage","Storage"
"Supplies","Supplies Dealers"
"Supplies Dealers","Supplies Dealers"
"Technical Services","Technical Services"
"Technology","Technology"
"Telecommunications","Telecommunications"
"Textile","Apparel"
"Textile Mills","Textile Mills"
"Tobacco Product Manufacturing","Tobacco Products"
"Transportation Equipment","Transportation Equipment"
"Transportation Equipment Manufacturing","Transportation Equipment"
"Truck Transportation","Trucking"
"Trucking","Trucking"
